Country Name,Country Code,Population,0-14,15-64,65+,Female
India,IND,1311050527,28.78812732,65.5957625,5.616110171,48.1676416
Indonesia,IDN,257563815,27.69238722,67.13388369,5.173729081,49.64825358
"Iran, Islamic Rep.",IRN,79109272,23.60947147,71.32941383,5.061114707,49.64534372
Iraq,IRQ,36423395,40.98275847,55.96100528,3.056236246,49.3814978
Ireland,IRL,4640703,21.78056144,65.07993554,13.13950301,50.08820584
Isle of Man,IMY,87780,..,..,..,..
Israel,ISR,8380400,27.83345709,60.92753058,11.23901233,50.41412266
Italy,ITA,60802085,13.71038193,63.87974217,22.4098759,51.38656287
Jamaica,JAM,2725941,23.57833915,67.28276415,9.138896695,50.20149749
Japan,JPN,126958472,12.85549617,60.80249069,26.34201314,51.36534327
Jordan,JOR,7594547,35.5254237,60.6886757,3.785900594,48.79202143
Kazakhstan,KAZ,17544126,26.71739925,66.546863,6.735737743,51.70524906
Kenya,KEN,46050302,41.90906283,55.288493,2.802444162,50.01783702
Kiribati,KIR,112423,34.94658566,61.34954591,3.703868426,50.70047944
"Korea, Dem. People’s Rep.",PRK,25155317,21.16742556,69.29313592,9.539438521,51.10470681
"Korea, Rep.",KOR,50617045,13.99269992,72.88038108,13.126919,50.3016129
Kosovo,KSV,1797151,25.73770492,67.59562842,6.775956284,48.46994536
Kuwait,KWT,3892115,22.32410913,75.70577951,1.970111366,43.82396204
Kyrgyz Republic,KGZ,5957000,31.4016487,64.37150608,4.226845222,50.50175405
Lao PDR,LAO,6802023,34.76961192,61.41980114,3.810586939,50.23057111
Latvia,LVA,1978440,14.92212902,65.71007504,19.36779594,54.12389628
Lebanon,LBN,5850743,23.99303815,67.8712943,8.135667555,49.77511403
Lesotho,LSO,2135022,36.07264937,59.7850514,4.142299236,50.50285196
Liberia,LBR,4503438,42.30572287,54.68284453,3.011432599,49.59861777
Libya,LBY,6278438,29.83285015,65.62646633,4.540683527,49.72085414
Liechtenstein,LIE,37531,..,..,..,..
Lithuania,LTU,2910199,14.5148789,66.63732171,18.84779939,53.95922395
Luxembourg,LUX,569676,16.43367248,69.58491298,13.98141454,49.81308741
"Macao SAR, China",MAC,587606,13.01143964,77.99784209,8.99071827,51.8366048
"Macedonia, FYR",MKD,2078453,16.95308963,70.72409143,12.32281894,50.2201878
Madagascar,MDG,24235390,41.70933498,55.45284809,2.837816928,50.14538243
Malawi,MWI,17215232,45.15698075,51.40162503,3.441394226,50.08454722
Malaysia,MYS,30331007,25.01798637,69.09055127,5.890817113,48.39832622
Maldives,MDV,409163,27.47864059,67.8202262,4.701133211,49.8519209
Mali,MLI,17599694,47.52618426,49.95415829,2.519657444,49.51792912
Malta,MLT,431333,14.43213032,66.31977452,19.24809516,50.20039649
Marshall Islands,MHL,52993,..,..,..,..
Mauritania,MRT,4067564,40.01640785,56.77363651,3.209955639,49.68042298
Mauritius,MUS,1262605,19.3221553,71.11478685,9.563057841,50.60987487
Mexico,MEX,127017224,27.60543641,65.92757452,6.466989075,50.2575753
"Micronesia, Fed. Sts.",FSM,104460,34.06854298,61.57476546,4.356691557,48.77465058
Moldova,MDA,3554150,15.73340392,74.30866399,9.957932088,51.93146939
Monaco,MCO,37731,..,..,..,..
